event_date,session_qty,bounce_sessions_qty,users_qty,new_users_qty,atc_session_qty,order_session_qty,page_view_qty
2022-09-30,28370,22594,26566,26566,636,429,44922
2022-10-01,26312,20824,24593,23320,559,373,41342
2022-10-02,26283,20759,24668,22809,561,350,42085
2022-10-03,28662,22277,26626,24160,737,537,47036
2022-10-04,26844,19792,24856,22429,830,589,46352
2022-10-05,25249,18347,23385,20885,848,621,46097
2022-10-06,22146,15639,20605,18192,765,543,42045
2022-10-07,18325,12746,17197,15150,664,468,35298
2022-10-08,18142,12936,17023,15115,629,468,34268
2022-10-09,19565,13841,18444,16431,709,503,37797
2022-10-10,25467,17499,23832,21123,999,726,50430
2022-10-11,25606,17726,23929,21223,992,781,49788
2022-10-12,25361,18030,23737,20800,890,639,47698
2022-10-13,24317,17224,22908,20035,863,612,47340
